Arguments:
  JK: False
  cfg: configs/pubmed/baseline_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 128
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: False
  wandb: False
  wd: 0.0005
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.test.index
Processing...
Done!
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
)
Parameters:
+--------------------+------------+
|      Modules       | Parameters |
+--------------------+------------+
|    convs.0.bias    |     16     |
| convs.0.lin.weight |    8000    |
|    convs.1.bias    |     3      |
| convs.1.lin.weight |     48     |
|    bns.0.weight    |     16     |
|     bns.0.bias     |     16     |
+--------------------+------------+
Total Trainable Params: 8099

Start Training...
Run: 01, Epoch: 75, Train Loss: 0.1287, Valid Loss:  0.5686, Test Loss:  0.5971,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.30%
Run: 01, Epoch: 76, Train Loss: 0.1268, Valid Loss:  0.5668, Test Loss:  0.5954,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.30%
Run: 01, Epoch: 77, Train Loss: 0.1248, Valid Loss:  0.5658, Test Loss:  0.5944,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.60%
Run: 01, Epoch: 78, Train Loss: 0.1229, Valid Loss:  0.5658, Test Loss:  0.5944,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.60%
Run: 01, Epoch: 79, Train Loss: 0.1212, Valid Loss:  0.5661, Test Loss:  0.5945,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.20%
Run: 01, Epoch: 80, Train Loss: 0.1197, Valid Loss:  0.5673, Test Loss:  0.5956,  Train Acc: 100.00%, Valid Acc: 77.40%, Test Acc: 77.10%
Run: 01, Epoch: 81, Train Loss: 0.1183, Valid Loss:  0.5671, Test Loss:  0.5955,  Train Acc: 100.00%, Valid Acc: 77.40%, Test Acc: 77.20%
Run: 01, Epoch: 82, Train Loss: 0.1169, Valid Loss:  0.5671, Test Loss:  0.5956,  Train Acc: 100.00%, Valid Acc: 77.20%, Test Acc: 77.20%
Run: 01, Epoch: 83, Train Loss: 0.1154, Valid Loss:  0.5667, Test Loss:  0.5954,  Train Acc: 100.00%, Valid Acc: 77.00%, Test Acc: 77.00%
Run: 01, Epoch: 84, Train Loss: 0.1140, Valid Loss:  0.5655, Test Loss:  0.5945,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.20%
Run: 01, Epoch: 85, Train Loss: 0.1129, Valid Loss:  0.5649, Test Loss:  0.5943,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.20%
Run: 01, Epoch: 86, Train Loss: 0.1120, Valid Loss:  0.5645, Test Loss:  0.5941,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.40%
Run: 01, Epoch: 87, Train Loss: 0.1108, Valid Loss:  0.5636, Test Loss:  0.5932,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.40%
Run: 01, Epoch: 88, Train Loss: 0.1095, Valid Loss:  0.5627, Test Loss:  0.5921,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.50%
Run: 01, Epoch: 89, Train Loss: 0.1082, Valid Loss:  0.5613, Test Loss:  0.5906,  Train Acc: 100.00%, Valid Acc: 78.40%, Test Acc: 77.50%
Run: 01, Epoch: 90, Train Loss: 0.1069, Valid Loss:  0.5600, Test Loss:  0.5890,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.60%
Run: 01, Epoch: 91, Train Loss: 0.1057, Valid Loss:  0.5592, Test Loss:  0.5880,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.60%
Run: 01, Epoch: 92, Train Loss: 0.1045, Valid Loss:  0.5596, Test Loss:  0.5881,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.70%
Run: 01, Epoch: 93, Train Loss: 0.1035, Valid Loss:  0.5607, Test Loss:  0.5892,  Train Acc: 100.00%, Valid Acc: 77.40%, Test Acc: 77.50%
Run: 01, Epoch: 94, Train Loss: 0.1024, Valid Loss:  0.5611, Test Loss:  0.5896,  Train Acc: 100.00%, Valid Acc: 77.20%, Test Acc: 77.60%
Run: 01, Epoch: 95, Train Loss: 0.1010, Valid Loss:  0.5614, Test Loss:  0.5901,  Train Acc: 100.00%, Valid Acc: 77.40%, Test Acc: 77.40%
Run: 01, Epoch: 96, Train Loss: 0.0998, Valid Loss:  0.5624, Test Loss:  0.5914,  Train Acc: 100.00%, Valid Acc: 77.60%, Test Acc: 77.20%
Run: 01, Epoch: 97, Train Loss: 0.0987, Valid Loss:  0.5631, Test Loss:  0.5924,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.30%
Run: 01, Epoch: 98, Train Loss: 0.0978, Valid Loss:  0.5635, Test Loss:  0.5931,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.10%
Run: 01, Epoch: 99, Train Loss: 0.0969, Valid Loss:  0.5641, Test Loss:  0.5937,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.10%
Run: 01, Epoch: 100, Train Loss: 0.0960, Valid Loss:  0.5640, Test Loss:  0.5937,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.20%
Run: 01, Epoch: 101, Train Loss: 0.0951, Valid Loss:  0.5627, Test Loss:  0.5926,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.20%
Run: 01, Epoch: 102, Train Loss: 0.0940, Valid Loss:  0.5618, Test Loss:  0.5917,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.20%
Run: 01, Epoch: 103, Train Loss: 0.0930, Valid Loss:  0.5598, Test Loss:  0.5899,  Train Acc: 100.00%, Valid Acc: 78.40%, Test Acc: 77.10%
Run: 01, Epoch: 104, Train Loss: 0.0920, Valid Loss:  0.5574, Test Loss:  0.5875,  Train Acc: 100.00%, Valid Acc: 78.40%, Test Acc: 77.30%
Run: 01, Epoch: 105, Train Loss: 0.0911, Valid Loss:  0.5552, Test Loss:  0.5853,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.50%
